epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
79,7185.98,1.02823,0.61883,0.01502,0.92728,0.89632,0.95574,0.75704,0.80573,0.39494,0.01485,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,7276.86,1.02952,0.60117,0.01503,0.92688,0.89746,0.9562,0.75706,0.80466,0.39505,0.01484,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,7368.26,1.01512,0.60704,0.01489,0.92684,0.89618,0.9557,0.75732,0.80403,0.39474,0.01483,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,7459.44,1.01691,0.59973,0.01492,0.92857,0.89653,0.95627,0.75767,0.80315,0.39376,0.01481,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,7554.52,1.01052,0.59501,0.01476,0.92807,0.89783,0.95644,0.75824,0.80222,0.39321,0.01479,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,7647.15,1.01896,0.59691,0.01497,0.92669,0.89811,0.95616,0.75825,0.80145,0.39399,0.01478,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,7737.95,1.00451,0.59339,0.01473,0.92662,0.90055,0.95634,0.75872,0.80117,0.39285,0.01477,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,7830.21,1.01173,0.60646,0.01486,0.92565,0.9007,0.95656,0.75895,0.80052,0.3933,0.01475,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,7923.87,1.00254,0.60208,0.01456,0.92522,0.90215,0.95683,0.75956,0.80111,0.39034,0.01477,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,8015.97,1.00383,0.58182,0.01469,0.92626,0.90012,0.957,0.75993,0.80114,0.3899,0.01476,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,8107.32,1.0043,0.5876,0.01469,0.92671,0.90084,0.95734,0.76059,0.80089,0.38827,0.01476,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,8198.53,0.99702,0.57882,0.01475,0.92557,0.90082,0.95693,0.76,0.80061,0.38831,0.01475,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
