epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
67,5198.43,0.92298,0.57864,1.10327,0.91406,0.89848,0.95317,0.75056,0.77226,0.38671,0.95105,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,5274.73,0.92145,0.57755,1.10356,0.91142,0.90321,0.95383,0.75122,0.7718,0.38615,0.95123,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,5352.55,0.91284,0.57065,1.10097,0.91157,0.90231,0.95335,0.75158,0.7713,0.38557,0.95098,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,5432.2,0.91503,0.57436,1.10209,0.91592,0.9004,0.95328,0.75162,0.77051,0.38559,0.95088,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,5511.43,0.91021,0.5678,1.09727,0.91658,0.90051,0.95358,0.75175,0.76944,0.38486,0.95057,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,5590.11,0.91316,0.56642,1.09861,0.91344,0.90375,0.95378,0.75258,0.7682,0.38416,0.95017,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,5668.3,0.90871,0.56403,1.09961,0.91383,0.9037,0.95384,0.75266,0.76774,0.38385,0.95022,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,5747.35,0.90199,0.56116,1.09336,0.91213,0.90629,0.95424,0.75268,0.76683,0.38318,0.94954,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,5826.13,0.90237,0.56165,1.09257,0.91215,0.90629,0.95439,0.75319,0.76607,0.38247,0.94903,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,5904.55,0.90755,0.56289,1.09491,0.91269,0.90658,0.95506,0.75353,0.76557,0.38167,0.94856,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,5983.29,0.90184,0.55807,1.09063,0.91428,0.90579,0.95523,0.75405,0.76531,0.38161,0.94844,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,6060.32,0.89625,0.55564,1.08672,0.91491,0.90601,0.95525,0.75426,0.76505,0.38124,0.94822,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,6136.28,0.89826,0.55815,1.08937,0.91592,0.90572,0.95539,0.7544,0.76494,0.38091,0.94808,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,6211.02,0.90066,0.55724,1.09315,0.91775,0.90478,0.95528,0.75459,0.76446,0.38076,0.94793,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,6286.08,0.89316,0.5524,1.08806,0.91717,0.90501,0.95546,0.75527,0.76439,0.38043,0.94798,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,6361,0.8915,0.549,1.08619,0.91546,0.9066,0.95539,0.75556,0.76404,0.37972,0.9477,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,6439.6,0.88679,0.54584,1.08237,0.91614,0.90632,0.95539,0.75553,0.76334,0.37938,0.94704,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,6517.48,0.89045,0.55209,1.08598,0.9162,0.90698,0.95534,0.75572,0.76314,0.37881,0.94702,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,6594.52,0.88555,0.5459,1.08497,0.91674,0.90707,0.95546,0.75595,0.76292,0.37845,0.94695,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,6670.81,0.89011,0.54474,1.09059,0.91322,0.91139,0.9562,0.75647,0.76278,0.37829,0.94708,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,6749.1,0.87989,0.53901,1.08015,0.9145,0.91048,0.9563,0.75658,0.76222,0.3775,0.94672,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,6826.84,0.87982,0.53922,1.07971,0.91457,0.91127,0.95641,0.75709,0.76181,0.3767,0.94637,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,6905.37,0.87769,0.54133,1.077,0.91596,0.91046,0.95663,0.75771,0.76066,0.37615,0.9455,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,6984.1,0.87631,0.53616,1.08175,0.91783,0.90846,0.95687,0.75776,0.76028,0.37567,0.9452,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,7061.85,0.87355,0.53414,1.07687,0.9162,0.91046,0.95646,0.7579,0.7599,0.37525,0.94477,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,7141.41,0.8707,0.53113,1.08055,0.91727,0.90896,0.95706,0.75846,0.7596,0.37484,0.94459,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,7219,0.86969,0.53065,1.07716,0.91752,0.90907,0.95711,0.75874,0.75924,0.37406,0.94441,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,7299.58,0.86665,0.53047,1.07263,0.91796,0.90874,0.95656,0.75839,0.75894,0.37364,0.94426,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,7377.76,0.86891,0.52893,1.07712,0.91832,0.90896,0.95719,0.75875,0.75867,0.37322,0.94413,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,7455.53,0.86478,0.52647,1.0734,0.91924,0.90867,0.95694,0.75909,0.75831,0.37248,0.94405,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,7528.79,0.86171,0.52619,1.07332,0.9199,0.9082,0.95785,0.75907,0.75799,0.37233,0.94393,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,7606.73,0.86131,0.52291,1.07315,0.92001,0.90776,0.9577,0.75968,0.75782,0.372,0.94396,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
99,7683.88,0.85141,0.51731,1.07051,0.92167,0.90612,0.95801,0.75987,0.75726,0.37155,0.94363,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
100,7761.52,0.85972,0.52277,1.06894,0.91908,0.90821,0.95824,0.75996,0.75663,0.37134,0.94297,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
101,7838.73,0.85419,0.51781,1.07224,0.91936,0.90831,0.95842,0.76014,0.75617,0.37083,0.94297,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
102,7914.31,0.85134,0.51716,1.06905,0.92311,0.90491,0.9585,0.76048,0.75552,0.3706,0.94231,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334
103,7989.3,0.85422,0.5154,1.06863,0.92346,0.90529,0.95849,0.76075,0.75493,0.37029,0.94199,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
104,8068.22,0.8476,0.50973,1.06747,0.92041,0.90831,0.95863,0.76116,0.75469,0.37006,0.94181,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202
105,8149.32,0.84559,0.50713,1.06689,0.92157,0.9073,0.95865,0.76109,0.75423,0.36955,0.94147,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136
